HCHO reading,Location,Current Date,Next Date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,latitude,longitude,elevation
9.16560803424453e-05,"Deniyaya, Matara",2019-01-01,2019-01-02,28.9,23.5,26.2,35.5,27.5,30.8,0.4,0.4,13.7,22.3,72.0,6.0,80.399994,7.0
5.803530712000793e-06,"Deniyaya, Matara",2019-01-02,2019-01-03,28.8,23.9,26.1,35.5,27.3,30.4,0.3,0.3,11.9,23.8,96.0,6.0,80.399994,7.0
0.0002362357772653,"Deniyaya, Matara",2019-01-03,2019-01-04,28.9,23.3,26.3,35.9,27.2,30.9,0.1,0.1,11.4,19.1,79.0,6.0,80.399994,7.0
6.437245753953118e-05,"Deniyaya, Matara",2019-01-04,2019-01-05,28.9,23.6,26.0,35.1,27.2,30.4,0.9,0.9,9.8,27.0,78.0,6.0,80.399994,7.0
5.349707092885017e-05,"Deniyaya, Matara",2019-01-05,2019-01-06,29.3,23.2,26.2,36.1,27.0,30.9,1.2,1.2,10.5,22.7,219.0,6.0,80.399994,7.0
0.0001315594859189,"Deniyaya, Matara",2019-01-06,2019-01-07,28.2,22.5,25.4,34.8,26.0,30.0,0.2,0.2,9.7,24.5,94.0,6.0,80.399994,7.0
6.269859896976347e-05,"Deniyaya, Matara",2019-01-07,2019-01-08,29.5,22.2,26.1,35.3,25.8,30.7,0.0,0.0,10.5,25.2,262.0,6.0,80.399994,7.0
2.298263979970634e-05,"Deniyaya, Matara",2019-01-08,2019-01-09,29.3,23.6,26.2,36.0,28.6,31.4,1.0,1.0,8.9,22.3,128.0,6.0,80.399994,7.0
9.16560803424453e-05,"Deniyaya, Matara",2019-01-09,2019-01-10,30.5,23.8,27.0,36.5,28.5,32.4,0.1,0.1,7.6,25.2,65.0,6.0,80.399994,7.0
7.190247186715247e-05,"Deniyaya, Matara",2019-01-10,2019-01-11,30.2,24.1,26.9,35.5,29.2,32.3,0.6,0.6,10.8,29.5,68.0,6.0,80.399994,7.0
0.0001542091441034,"Deniyaya, Matara",2019-01-11,2019-01-12,29.7,24.2,26.1,36.8,29.3,31.6,15.4,15.4,6.5,27.7,245.0,6.0,80.399994,7.0
0.0001406986305217,"Deniyaya, Matara",2019-01-12,2019-01-13,28.4,24.2,25.7,36.3,28.6,31.0,16.8,16.8,12.2,32.4,90.0,6.0,80.399994,7.0
9.16560803424453e-05,"Deniyaya, Matara",2019-01-13,2019-01-14,28.9,24.3,25.8,36.1,28.3,30.7,18.1,18.1,12.2,27.4,58.0,6.0,80.399994,7.0
9.16560803424453e-05,"Deniyaya, Matara",2019-01-14,2019-01-15,28.7,24.0,26.0,35.5,28.7,31.2,1.7,1.7,12.0,30.2,58.0,6.0,80.399994,7.0
7.187311712186784e-05,"Deniyaya, Matara",2019-01-15,2019-01-16,29.2,24.4,26.2,37.4,29.5,32.0,6.8,6.8,5.6,25.2,258.0,6.0,80.399994,7.0
3.5053075407631695e-05,"Deniyaya, Matara",2019-01-16,2019-01-17,28.9,23.7,25.8,36.0,28.2,31.5,7.8,7.8,8.6,26.3,59.0,6.0,80.399994,7.0
0.0001694853136055,"Deniyaya, Matara",2019-01-17,2019-01-18,29.0,24.0,26.2,36.0,28.6,31.5,0.6,0.6,9.1,24.1,116.0,6.0,80.399994,7.0
6.0375266285424514e-05,"Deniyaya, Matara",2019-01-20,2019-01-21,27.8,23.1,25.3,33.4,27.6,29.9,0.0,0.0,8.2,20.5,237.0,6.0,80.399994,7.0
0.0001008019639029,"Deniyaya, Matara",2019-01-21,2019-01-22,28.3,22.0,25.5,33.9,25.9,29.9,0.1,0.1,10.3,25.2,275.0,6.0,80.399994,7.0
3.363791867442001e-05,"Deniyaya, Matara",2019-01-22,2019-01-23,29.3,23.7,26.1,35.8,28.1,31.3,0.0,0.0,9.5,23.0,260.0,6.0,80.399994,7.0
0.0001753175803488,"Deniyaya, Matara",2019-01-23,2019-01-24,28.9,22.3,25.9,35.6,26.6,30.9,0.0,0.0,9.5,24.1,214.0,6.0,80.399994,7.0
