HCHO reading,Location,Current Date,Next Date,STATION,PRCP,TAVG,TMAX,TMIN
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-01,2019-01-02,CE000434730,0.0,61.0,71.0,49.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-02,2019-01-03,CE000434730,0.0,59.0,69.0,49.0
0.0001908293886956,Nuwara Eliya Proper,2019-01-03,2019-01-04,CE000434730,0.0,59.0,71.0,49.0
5.0976259171277377e-05,Nuwara Eliya Proper,2019-01-04,2019-01-05,CE000434730,0.0,59.0,72.0,47.0
6.456645496655256e-05,Nuwara Eliya Proper,2019-01-05,2019-01-06,CE000434730,0.0,55.0,68.0,54.0
8.982348709518115e-05,Nuwara Eliya Proper,2019-01-06,2019-01-07,CE000434730,0.0,59.0,71.0,37.0
4.097797651418246e-05,Nuwara Eliya Proper,2019-01-07,2019-01-08,CE000434730,0.0,59.0,70.0,46.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-08,2019-01-09,CE000434730,0.0,59.0,69.0,45.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-09,2019-01-10,CE000434730,0.0,61.0,70.0,50.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-10,2019-01-11,CE000434730,0.0,61.0,68.0,52.0
3.914670787137749e-05,Nuwara Eliya Proper,2019-01-11,2019-01-12,CE000434730,0.0,62.0,70.0,53.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-12,2019-01-13,CE000434730,0.07,59.0,66.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-13,2019-01-14,CE000434730,0.0,61.0,66.0,56.0
4.211950727039948e-05,Nuwara Eliya Proper,2019-01-14,2019-01-15,CE000434730,2.03,60.0,67.0,57.0
4.27055256923008e-05,Nuwara Eliya Proper,2019-01-15,2019-01-16,CE000434730,0.0,60.0,69.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-16,2019-01-17,CE000434730,0.0,57.0,64.0,54.0
0.0001077155480912,Nuwara Eliya Proper,2019-01-17,2019-01-18,CE000434730,0.0,52.0,69.0,54.0
2.1021983917616697e-05,Nuwara Eliya Proper,2019-01-18,2019-01-19,CE000434730,0.0,56.0,71.0,42.0
3.5177822608346057e-05,Nuwara Eliya Proper,2019-01-19,2019-01-20,CE000434730,0.0,53.0,70.0,41.0
8.95718212363389e-06,Nuwara Eliya Proper,2019-01-20,2019-01-21,CE000434730,0.0,54.0,69.0,40.0
0.0001169623557084,Nuwara Eliya Proper,2019-01-21,2019-01-22,CE000434730,0.0,56.0,71.0,44.0
0.0001423180803672,Nuwara Eliya Proper,2019-01-22,2019-01-23,CE000434730,0.0,57.0,71.0,42.0
5.387086215710865e-05,Nuwara Eliya Proper,2019-01-23,2019-01-24,CE000434730,0.0,57.0,72.0,45.0
5.8914353326833725e-05,Nuwara Eliya Proper,2019-01-24,2019-01-25,CE000434730,0.0,56.0,69.0,44.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-25,2019-01-26,CE000434730,0.0,59.0,71.0,45.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-01-26,2019-01-27,CE000434730,0.0,60.0,68.0,48.0
0.0001509017772374,Nuwara Eliya Proper,2019-01-28,2019-01-29,CE000434730,0.0,56.0,69.0,47.0
0.0001841569476548,Nuwara Eliya Proper,2019-01-29,2019-01-30,CE000434730,0.0,57.0,69.0,45.0
3.054402387193301e-05,Nuwara Eliya Proper,2019-01-30,2019-01-31,CE000434730,0.0,60.0,69.0,50.0
3.6008610393953005e-05,Nuwara Eliya Proper,2019-01-31,2019-02-01,CE000434730,0.0,59.0,67.0,46.0
7.778077086008773e-05,Nuwara Eliya Proper,2019-02-01,2019-02-02,CE000434730,0.0,60.0,69.0,46.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-02,2019-02-03,CE000434730,0.0,60.0,69.0,47.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-03,2019-02-04,CE000434730,0.0,63.0,69.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-04,2019-02-05,CE000434730,0.08,60.0,62.0,57.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-05,2019-02-06,CE000434730,0.3,61.0,67.0,56.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-06,2019-02-07,CE000434730,0.02,60.0,69.0,54.0
8.962996522611401e-05,Nuwara Eliya Proper,2019-02-07,2019-02-08,CE000434730,0.0,62.0,70.0,49.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-09,2019-02-10,CE000434730,0.09,62.0,68.0,56.0
5.539429507152505e-05,Nuwara Eliya Proper,2019-02-10,2019-02-11,CE000434730,0.99,62.0,70.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-11,2019-02-12,CE000434730,0.0,58.0,65.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-12,2019-02-13,CE000434730,0.0,58.0,69.0,53.0
7.972334424266592e-05,Nuwara Eliya Proper,2019-02-13,2019-02-14,CE000434730,0.0,60.0,66.0,56.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-14,2019-02-15,CE000434730,0.01,59.0,67.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-15,2019-02-16,CE000434730,0.04,61.0,69.0,52.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-16,2019-02-17,CE000434730,0.04,60.0,69.0,51.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-17,2019-02-18,CE000434730,0.17,62.0,72.0,53.0
0.0001733092446862,Nuwara Eliya Proper,2019-02-18,2019-02-19,CE000434730,0.01,62.0,73.0,50.0
0.0001075724904002,Nuwara Eliya Proper,2019-02-20,2019-02-21,CE000434730,0.0,59.0,66.0,52.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-02-21,2019-02-22,CE000434730,0.0,60.0,69.0,54.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-02-22,2019-02-23,CE000434730,0.02,62.0,70.0,50.0
0.0001895221819805,Nuwara Eliya Proper,2019-02-23,2019-02-24,CE000434730,0.0,61.0,72.0,44.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-25,2019-02-26,CE000434730,0.0,62.0,73.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-26,2019-02-27,CE000434730,0.0,63.0,69.0,52.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-27,2019-02-28,CE000434730,0.0,60.0,66.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-02-28,2019-03-01,CE000434730,0.2,59.0,71.0,48.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-01,2019-03-02,CE000434730,0.0,61.0,74.0,47.0
0.0001235405797752,Nuwara Eliya Proper,2019-03-02,2019-03-03,CE000434730,0.0,63.0,69.0,53.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-03,2019-03-04,CE000434730,0.0,63.0,73.0,53.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-04,2019-03-05,CE000434730,0.0,61.0,73.0,50.0
0.0001477264081287,Nuwara Eliya Proper,2019-03-05,2019-03-06,CE000434730,0.0,63.0,69.0,51.0
6.384192250393643e-05,Nuwara Eliya Proper,2019-03-06,2019-03-07,CE000434730,0.0,63.0,73.0,52.0
0.0001673222246266,Nuwara Eliya Proper,2019-03-07,2019-03-08,CE000434730,0.0,64.0,75.0,50.0
8.084443465562647e-05,Nuwara Eliya Proper,2019-03-08,2019-03-09,CE000434730,0.0,62.0,75.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-09,2019-03-10,CE000434730,0.0,63.0,73.0,48.0
6.543632959168698e-05,Nuwara Eliya Proper,2019-03-10,2019-03-11,CE000434730,0.0,62.0,71.0,48.0
6.152930957380892e-05,Nuwara Eliya Proper,2019-03-11,2019-03-12,CE000434730,0.0,61.0,71.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-13,2019-03-14,CE000434730,0.0,62.0,69.0,51.0
9.745691103711994e-05,Nuwara Eliya Proper,2019-03-14,2019-03-15,CE000434730,0.0,63.0,74.0,54.0
0.0001547611296419,Nuwara Eliya Proper,2019-03-15,2019-03-16,CE000434730,0.0,62.0,77.0,49.0
0.0001265224542416,Nuwara Eliya Proper,2019-03-16,2019-03-17,CE000434730,0.0,61.0,69.0,50.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-17,2019-03-18,CE000434730,0.0,60.0,69.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-18,2019-03-19,CE000434730,0.0,61.0,73.0,54.0
3.81896059352209e-05,Nuwara Eliya Proper,2019-03-19,2019-03-20,CE000434730,0.16,60.0,72.0,48.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-03-20,2019-03-21,CE000434730,0.0,60.0,73.0,44.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-03-21,2019-03-22,CE000434730,0.0,58.0,69.0,49.0
6.845485111101992e-05,Nuwara Eliya Proper,2019-03-22,2019-03-23,CE000434730,0.21,61.0,69.0,51.0
0.0001184572953092,Nuwara Eliya Proper,2019-03-23,2019-03-24,CE000434730,0.0,60.0,73.0,54.0
5.820339193343703e-05,Nuwara Eliya Proper,2019-03-25,2019-03-26,CE000434730,0.0,63.0,72.0,54.0
8.722993536189284e-05,Nuwara Eliya Proper,2019-03-26,2019-03-27,CE000434730,0.0,63.0,69.0,53.0
9.746027246583777e-05,Nuwara Eliya Proper,2019-03-27,2019-03-28,CE000434730,0.0,61.0,76.0,42.0
0.0001692817181159,Nuwara Eliya Proper,2019-03-28,2019-03-29,CE000434730,0.21,63.0,73.0,54.0
0.0001940701991971,Nuwara Eliya Proper,2019-03-29,2019-03-30,CE000434730,0.0,62.0,74.0,52.0
0.000199954111486,Nuwara Eliya Proper,2019-03-30,2019-03-31,CE000434730,0.0,61.0,69.0,54.0
0.0001030857769564,Nuwara Eliya Proper,2019-03-31,2019-04-01,CE000434730,0.0,62.0,75.0,46.0
0.0001345494559591,Nuwara Eliya Proper,2019-04-01,2019-04-02,CE000434730,0.0,63.0,75.0,49.0
0.000144982511753,Nuwara Eliya Proper,2019-04-02,2019-04-03,CE000434730,0.0,62.0,75.0,54.0
0.0001425276102801,Nuwara Eliya Proper,2019-04-03,2019-04-04,CE000434730,0.0,61.0,74.0,46.0
0.0001196842667319,Nuwara Eliya Proper,2019-04-04,2019-04-05,CE000434730,0.0,61.0,69.0,45.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-05,2019-04-06,CE000434730,0.01,63.0,74.0,49.0
0.0001029167153844,Nuwara Eliya Proper,2019-04-06,2019-04-07,CE000434730,0.47,60.0,69.0,50.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-07,2019-04-08,CE000434730,0.0,61.0,74.0,51.0
6.757815417269227e-05,Nuwara Eliya Proper,2019-04-08,2019-04-09,CE000434730,0.0,59.0,69.0,50.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-09,2019-04-10,CE000434730,0.65,63.0,69.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-10,2019-04-11,CE000434730,0.14,63.0,72.0,54.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-04-11,2019-04-12,CE000434730,0.0,63.0,71.0,54.0
0.0001408357462238,Nuwara Eliya Proper,2019-04-12,2019-04-13,CE000434730,0.0,65.0,75.0,49.0
0.0001905907485365,Nuwara Eliya Proper,2019-04-13,2019-04-14,CE000434730,0.0,65.0,73.0,52.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-14,2019-04-15,CE000434730,0.02,63.0,86.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-15,2019-04-16,CE000434730,0.0,64.0,75.0,48.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-16,2019-04-17,CE000434730,0.0,64.0,76.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-17,2019-04-18,CE000434730,0.0,63.0,75.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-18,2019-04-19,CE000434730,1.93,63.0,69.0,56.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-04-19,2019-04-20,CE000434730,0.13,64.0,69.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-20,2019-04-21,CE000434730,0.11,61.0,73.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-21,2019-04-22,CE000434730,0.28,65.0,72.0,54.0
0.0001024999823835,Nuwara Eliya Proper,2019-04-22,2019-04-23,CE000434730,0.0,64.0,69.0,54.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-04-25,2019-04-26,CE000434730,0.0,63.0,69.0,52.0
7.111501928962651e-05,Nuwara Eliya Proper,2019-04-26,2019-04-27,CE000434730,0.27,64.0,69.0,57.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-27,2019-04-28,CE000434730,0.0,61.0,69.0,57.0
0.0001093271878134,Nuwara Eliya Proper,2019-04-28,2019-04-29,CE000434730,0.0,66.0,73.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-29,2019-04-30,CE000434730,0.09,65.0,72.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-04-30,2019-05-01,CE000434730,0.02,62.0,69.0,58.0
0.0001203378887073,Nuwara Eliya Proper,2019-05-01,2019-05-02,CE000434730,0.26,63.0,69.0,57.0
0.0001336923031109,Nuwara Eliya Proper,2019-05-02,2019-05-03,CE000434730,0.0,64.0,69.0,58.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-03,2019-05-04,CE000434730,0.0,64.0,71.0,60.0
7.002533500214887e-05,Nuwara Eliya Proper,2019-05-04,2019-05-05,CE000434730,0.0,63.0,69.0,54.0
4.388346007494007e-05,Nuwara Eliya Proper,2019-05-05,2019-05-06,CE000434730,0.15,60.0,69.0,52.0
0.0001055412390811,Nuwara Eliya Proper,2019-05-06,2019-05-07,CE000434730,0.0,63.0,77.0,54.0
0.0001036462577021,Nuwara Eliya Proper,2019-05-07,2019-05-08,CE000434730,0.0,64.0,74.0,53.0
5.81859056799875e-05,Nuwara Eliya Proper,2019-05-08,2019-05-09,CE000434730,0.0,62.0,72.0,52.0
0.0002151863254373,Nuwara Eliya Proper,2019-05-09,2019-05-10,CE000434730,0.0,64.0,77.0,50.0
0.0001520700378357,Nuwara Eliya Proper,2019-05-10,2019-05-11,CE000434730,0.0,66.0,77.0,54.0
8.896596670445717e-05,Nuwara Eliya Proper,2019-05-11,2019-05-12,CE000434730,0.0,64.0,69.0,51.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-12,2019-05-13,CE000434730,0.0,63.0,75.0,52.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-13,2019-05-14,CE000434730,0.09,63.0,69.0,58.0
0.0002221362230624,Nuwara Eliya Proper,2019-05-15,2019-05-16,CE000434730,0.0,62.0,69.0,52.0
0.0001343666372122,Nuwara Eliya Proper,2019-05-16,2019-05-17,CE000434730,0.0,63.0,69.0,52.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-17,2019-05-18,CE000434730,0.0,61.0,71.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-18,2019-05-19,CE000434730,0.0,64.0,72.0,54.0
8.031848961353504e-05,Nuwara Eliya Proper,2019-05-20,2019-05-21,CE000434730,0.15,62.0,69.0,49.0
0.0001222873862844,Nuwara Eliya Proper,2019-05-21,2019-05-22,CE000434730,0.0,64.0,72.0,54.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-22,2019-05-23,CE000434730,0.0,64.0,69.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-23,2019-05-24,CE000434730,0.59,63.0,72.0,55.0
8.792586073765203e-05,Nuwara Eliya Proper,2019-05-24,2019-05-25,CE000434730,0.18,64.0,69.0,58.0
9.497559860401536e-05,Nuwara Eliya Proper,2019-05-25,2019-05-26,CE000434730,0.0,64.0,69.0,57.0
3.6341561558326346e-05,Nuwara Eliya Proper,2019-05-26,2019-05-27,CE000434730,0.06,65.0,69.0,56.0
0.0001195644109596,Nuwara Eliya Proper,2019-05-27,2019-05-28,CE000434730,0.0,65.0,75.0,55.0
